tc_id	req_id	field	item	before	after
NR1L-ComfortHMI-271	SWE1-HVAC-029-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-271	SWE1-HVAC-029-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-272	SWE1-HVAC-030-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-272	SWE1-HVAC-030-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-273	SWE1-HVAC-030-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-273	SWE1-HVAC-030-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-274	SWE1-HVAC-030-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-274	SWE1-HVAC-030-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-275	SWE1-HVAC-030-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-275	SWE1-HVAC-030-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-276	SWE1-HVAC-030-05	priority	R-C47	P2	P1
NR1L-ComfortHMI-276	SWE1-HVAC-030-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-277	SWE1-HVAC-031-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-277	SWE1-HVAC-031-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-400	SWE1-HVAC-031-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-400	SWE1-HVAC-031-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-278	SWE1-HVAC-031-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-278	SWE1-HVAC-031-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-279	SWE1-HVAC-031-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-279	SWE1-HVAC-031-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-280	SWE1-HVAC-032-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-280	SWE1-HVAC-032-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-401	SWE1-HVAC-032-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-401	SWE1-HVAC-032-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-402	SWE1-HVAC-032-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-402	SWE1-HVAC-032-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-281	SWE1-HVAC-032-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-281	SWE1-HVAC-032-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-282	SWE1-HVAC-032-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-282	SWE1-HVAC-032-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-283	SWE1-HVAC-032-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-283	SWE1-HVAC-032-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-403	SWE1-HVAC-032-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-403	SWE1-HVAC-032-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-284	SWE1-HVAC-033-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-284	SWE1-HVAC-033-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-404	SWE1-HVAC-033-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-404	SWE1-HVAC-033-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-285	SWE1-HVAC-033-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-285	SWE1-HVAC-033-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-286	SWE1-HVAC-033-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-286	SWE1-HVAC-033-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-287	SWE1-HVAC-033-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-287	SWE1-HVAC-033-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-288	SWE1-HVAC-034-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-288	SWE1-HVAC-034-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-289	SWE1-HVAC-034-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-289	SWE1-HVAC-034-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-290	SWE1-HVAC-034-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-290	SWE1-HVAC-034-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-291	SWE1-HVAC-034-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-291	SWE1-HVAC-034-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-292	SWE1-HVAC-034-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-292	SWE1-HVAC-034-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-293	SWE1-HVAC-035-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-293	SWE1-HVAC-035-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-294	SWE1-HVAC-035-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-294	SWE1-HVAC-035-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-295	SWE1-HVAC-035-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-295	SWE1-HVAC-035-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-296	SWE1-HVAC-036-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-296	SWE1-HVAC-036-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-405	SWE1-HVAC-036-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-405	SWE1-HVAC-036-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-406	SWE1-HVAC-036-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-406	SWE1-HVAC-036-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-297	SWE1-HVAC-036-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-297	SWE1-HVAC-036-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-298	SWE1-HVAC-036-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-298	SWE1-HVAC-036-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-299	SWE1-HVAC-036-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-299	SWE1-HVAC-036-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-300	SWE1-HVAC-036-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-300	SWE1-HVAC-036-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-407	SWE1-HVAC-036-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-407	SWE1-HVAC-036-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-301	SWE1-HVAC-037	priority	R-C47	P1	P0
NR1L-ComfortHMI-301	SWE1-HVAC-037	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-302	SWE1-HVAC-038-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-302	SWE1-HVAC-038-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-303	SWE1-HVAC-038-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-303	SWE1-HVAC-038-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-459	SWE1-HVAC-039	priority	R-C47	P1	P0
NR1L-ComfortHMI-459	SWE1-HVAC-039	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-367	SWE1-HVAC-040-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-367	SWE1-HVAC-040-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-408	SWE1-HVAC-040-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-408	SWE1-HVAC-040-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-409	SWE1-HVAC-040-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-409	SWE1-HVAC-040-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-368	SWE1-HVAC-040-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-368	SWE1-HVAC-040-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-369	SWE1-HVAC-041	priority	R-C47	P2	P1
NR1L-ComfortHMI-369	SWE1-HVAC-041	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-370	SWE1-HVAC-042-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-370	SWE1-HVAC-042-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-371	SWE1-HVAC-042-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-371	SWE1-HVAC-042-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-372	SWE1-HVAC-042-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-372	SWE1-HVAC-042-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-373	SWE1-HVAC-043	priority	R-C47	P2	P1
NR1L-ComfortHMI-373	SWE1-HVAC-043	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-067	SWE1-HVAC-044-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-067	SWE1-HVAC-044-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-081	SWE1-HVAC-044-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-081	SWE1-HVAC-044-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-068	SWE1-HVAC-045	priority	R-C47	P1	P0
NR1L-ComfortHMI-068	SWE1-HVAC-045	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-069	SWE1-HVAC-046	priority	R-C47	P1	P0
NR1L-ComfortHMI-069	SWE1-HVAC-046	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-070	SWE1-HVAC-047	priority	R-C47	P1	P0
NR1L-ComfortHMI-070	SWE1-HVAC-047	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-460	SWE1-HVAC-047	priority	R-C47	P2	P1
NR1L-ComfortHMI-460	SWE1-HVAC-047	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-071	SWE1-HVAC-048-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-071	SWE1-HVAC-048-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-072	SWE1-HVAC-048-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-072	SWE1-HVAC-048-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-073	SWE1-HVAC-048-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-073	SWE1-HVAC-048-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-074	SWE1-HVAC-049-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-074	SWE1-HVAC-049-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-075	SWE1-HVAC-049-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-075	SWE1-HVAC-049-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-076	SWE1-HVAC-050	priority	R-C47	P1	P0
NR1L-ComfortHMI-076	SWE1-HVAC-050	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-077	SWE1-HVAC-051	priority	R-C47	P1	P0
NR1L-ComfortHMI-077	SWE1-HVAC-051	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-078	SWE1-HVAC-052	priority	R-C47	P1	P0
NR1L-ComfortHMI-078	SWE1-HVAC-052	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-079	SWE1-HVAC-053-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-079	SWE1-HVAC-053-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-080	SWE1-HVAC-053-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-080	SWE1-HVAC-053-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-304	SWE1-HVAC-054-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-304	SWE1-HVAC-054-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-305	SWE1-HVAC-054-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-305	SWE1-HVAC-054-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-306	SWE1-HVAC-054-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-306	SWE1-HVAC-054-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-307	SWE1-HVAC-054-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-307	SWE1-HVAC-054-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-308	SWE1-HVAC-055-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-308	SWE1-HVAC-055-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-309	SWE1-HVAC-055-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-309	SWE1-HVAC-055-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-310	SWE1-HVAC-055-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-310	SWE1-HVAC-055-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-311	SWE1-HVAC-055-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-311	SWE1-HVAC-055-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-312	SWE1-HVAC-056	priority	R-C47	P1	P0
NR1L-ComfortHMI-312	SWE1-HVAC-056	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-313	SWE1-HVAC-057-01	priority	R-C47	P2	P1
NR1L-ComfortHMI-313	SWE1-HVAC-057-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-314	SWE1-HVAC-057-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-314	SWE1-HVAC-057-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-382	SWE1-HVAC-058	priority	R-C47	P2	P1
NR1L-ComfortHMI-382	SWE1-HVAC-058	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-315	SWE1-HVAC-059-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-315	SWE1-HVAC-059-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-316	SWE1-HVAC-059-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-316	SWE1-HVAC-059-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-317	SWE1-HVAC-059-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-317	SWE1-HVAC-059-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-318	SWE1-HVAC-059-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-318	SWE1-HVAC-059-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-319	SWE1-HVAC-059-05	priority	R-C47	P1	P0
NR1L-ComfortHMI-319	SWE1-HVAC-059-05	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-320	SWE1-HVAC-059-06	priority	R-C47	P2	P1
NR1L-ComfortHMI-320	SWE1-HVAC-059-06	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-321	SWE1-HVAC-060-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-321	SWE1-HVAC-060-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-322	SWE1-HVAC-060-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-322	SWE1-HVAC-060-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-323	SWE1-HVAC-061-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-323	SWE1-HVAC-061-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-324	SWE1-HVAC-061-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-324	SWE1-HVAC-061-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-325	SWE1-HVAC-061-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-325	SWE1-HVAC-061-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-326	SWE1-HVAC-061-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-326	SWE1-HVAC-061-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-327	SWE1-HVAC-062-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-327	SWE1-HVAC-062-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-328	SWE1-HVAC-062-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-328	SWE1-HVAC-062-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-329	SWE1-HVAC-062-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-329	SWE1-HVAC-062-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-330	SWE1-HVAC-062-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-330	SWE1-HVAC-062-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-331	SWE1-HVAC-063-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-331	SWE1-HVAC-063-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-332	SWE1-HVAC-063-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-332	SWE1-HVAC-063-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-333	SWE1-HVAC-064-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-333	SWE1-HVAC-064-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-334	SWE1-HVAC-064-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-334	SWE1-HVAC-064-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-335	SWE1-HVAC-064-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-335	SWE1-HVAC-064-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-336	SWE1-HVAC-065-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-336	SWE1-HVAC-065-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-337	SWE1-HVAC-065-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-337	SWE1-HVAC-065-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-338	SWE1-HVAC-065-03	priority	R-C47	P2	P1
NR1L-ComfortHMI-338	SWE1-HVAC-065-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-339	SWE1-HVAC-066	priority	R-C47	P2	P1
NR1L-ComfortHMI-339	SWE1-HVAC-066	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-340	SWE1-HVAC-067-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-340	SWE1-HVAC-067-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-341	SWE1-HVAC-067-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-341	SWE1-HVAC-067-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-342	SWE1-HVAC-067-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-342	SWE1-HVAC-067-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-343	SWE1-HVAC-067-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-343	SWE1-HVAC-067-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-344	SWE1-HVAC-068-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-344	SWE1-HVAC-068-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-345	SWE1-HVAC-068-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-345	SWE1-HVAC-068-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-346	SWE1-HVAC-068-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-346	SWE1-HVAC-068-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-347	SWE1-HVAC-068-04	priority	R-C47	P1	P0
NR1L-ComfortHMI-347	SWE1-HVAC-068-04	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-348	SWE1-HVAC-069-01	priority	R-C47	P2	P1
NR1L-ComfortHMI-348	SWE1-HVAC-069-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-349	SWE1-HVAC-069-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-349	SWE1-HVAC-069-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-350	SWE1-HVAC-070	priority	R-C47	P1	P0
NR1L-ComfortHMI-350	SWE1-HVAC-070	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-351	SWE1-HVAC-071-01	priority	R-C47	P2	P1
NR1L-ComfortHMI-351	SWE1-HVAC-071-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-352	SWE1-HVAC-071-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-352	SWE1-HVAC-071-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-383	SWE1-HVAC-072	priority	R-C47	P3	P2
NR1L-ComfortHMI-383	SWE1-HVAC-072	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-353	SWE1-HVAC-073-01	priority	R-C47	P2	P1
NR1L-ComfortHMI-353	SWE1-HVAC-073-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-354	SWE1-HVAC-073-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-354	SWE1-HVAC-073-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-355	SWE1-HVAC-074-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-355	SWE1-HVAC-074-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-356	SWE1-HVAC-074-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-356	SWE1-HVAC-074-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-357	SWE1-HVAC-074-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-357	SWE1-HVAC-074-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-358	SWE1-HVAC-075-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-358	SWE1-HVAC-075-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-359	SWE1-HVAC-075-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-359	SWE1-HVAC-075-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-360	SWE1-HVAC-075-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-360	SWE1-HVAC-075-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-001	SWE1-HVAC-076-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-001	SWE1-HVAC-076-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-002	SWE1-HVAC-076-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-002	SWE1-HVAC-076-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-003	SWE1-HVAC-076-03	priority	R-C47	P1	P0
NR1L-ComfortHMI-003	SWE1-HVAC-076-03	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-004	SWE1-HVAC-077	priority	R-C47	P1	P0
NR1L-ComfortHMI-004	SWE1-HVAC-077	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-005	SWE1-HVAC-078-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-005	SWE1-HVAC-078-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-006	SWE1-HVAC-078-02	priority	R-C47	P1	P0
NR1L-ComfortHMI-006	SWE1-HVAC-078-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-007	SWE1-HVAC-079-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-007	SWE1-HVAC-079-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-008	SWE1-HVAC-079-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-008	SWE1-HVAC-079-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-009	SWE1-HVAC-080-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-009	SWE1-HVAC-080-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-010	SWE1-HVAC-080-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-010	SWE1-HVAC-080-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-011	SWE1-HVAC-081-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-011	SWE1-HVAC-081-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-012	SWE1-HVAC-081-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-012	SWE1-HVAC-081-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-013	SWE1-HVAC-082-01	priority	R-C47	P1	P0
NR1L-ComfortHMI-013	SWE1-HVAC-082-01	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-014	SWE1-HVAC-082-02	priority	R-C47	P2	P1
NR1L-ComfortHMI-014	SWE1-HVAC-082-02	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-434	SWE1-HVAC-083	priority	R-C47	P2	P1
NR1L-ComfortHMI-434	SWE1-HVAC-083	test_group	R-C6(amend)	Comfort	Climate Control Interface
NR1L-ComfortHMI-167	SWE1-HVAC-084	priority	R-C47	P2	P1
NR1L-ComfortHMI-167	SWE1-HVAC-084	test_group	R-C6(amend)	Comfort	Climate Control Interface
