book	swe_id	kind	source_book	section_or_vf	test_set_draft	title
B	SWE1-RVC-127-02	leaf	HeadUnitCameraSystems	33.1.2	Wireless Camera Setup	YES: disconnect projection, enable, start pairing
B	SWE1-RVC-127-03	leaf	HeadUnitCameraSystems	33.1.2	Wireless Camera Setup	NO: maintain projection, stop pairing
B	SWE1-RVC-128	leaf	HeadUnitCameraSystems	33.2.1	Wireless Camera Setup	Add Camera Function Locked Out While Vehicle in Drive
B	SWE1-RVC-129	leaf	HeadUnitCameraSystems	34.1.1.1	AUX Camera Access	Second-Surface AUX Cam Controls in Back-Up / CHMSL (Variant 2)
B	SWE1-RVC-130	leaf	HeadUnitCameraSystems	34.1.2.1	AUX Camera Access	AUX Cameras Icons in Camera Views (Variant 2)
B	SWE1-RVC-131	leaf	HeadUnitCameraSystems	34.1.3.1	AUX Camera Access	AUX Cam is Always a Selectable Option (Variant)
B	SWE1-RVC-132	leaf	HeadUnitCameraSystems	34.1.4.1	AUX Camera Access	"Personalization Settings Grouped under ""Cameras"" (Variant)"
B	SWE1-RVC-133	leaf	HeadUnitCameraSystems	34.1.5.1	AUX Camera Access	RearView Camera / Cargo Camera / Apps Page Set
B	SWE1-RVC-134	leaf	HeadUnitCameraSystems	34.3.2	AUX Camera Access	X Absent When Camera Screen Accessed via Reverse Shift
B	SWE1-RVC-135	leaf	HeadUnitCameraSystems	34.4.1	AUX Camera Access	CHMSL-Only Camera Configuration Does Not Exist
B	SWE1-RVC-136	leaf	HeadUnitCameraSystems	34.4.2	AUX Camera Access	X Absent When Camera Screen Accessed via Reverse Shift (Variant)
B	SWE1-RVC-137	leaf	HeadUnitCameraSystems	34.4.3	AUX Camera Access	AUX Cam Button Always Lands on AUX 1 Screen
B	SWE1-RVC-138	leaf	HeadUnitCameraSystems	34.6	AUX Camera Access	AUX Camera Access from Back-Up and Cargo Cam
B	SWE1-RVC-139	leaf	HeadUnitCameraSystems	34.6.1	AUX Camera Access	CHMSL-Only Camera Configuration Does Not Exist (Variant)
B	SWE1-RVC-140	leaf	HeadUnitCameraSystems	34.6.2	AUX Camera Access	X Absent When Accessed via Reverse Shift (Cargo Variant)
B	SWE1-RVC-141	leaf	HeadUnitCameraSystems	34.6.3	AUX Camera Access	Same AUX Behavior When Accessing from Cargo Cam
B	SWE1-RVC-142	leaf	HeadUnitCameraSystems	34.7.1	AUX Camera Access	DT/HDCC + SVC + Camera App: No AUX via Left-Corner Views
B	SWE1-RVC-143	umbrella	HeadUnitCameraSystems	34.7.2	AUX Camera Access	X Availability in Reverse and Camera Persistence (Umbrella)
B	SWE1-RVC-143-01	leaf	HeadUnitCameraSystems	34.7.2	AUX Camera Access	X not available in REVERSE except as back button
B	SWE1-RVC-143-02	leaf	HeadUnitCameraSystems	34.7.2	AUX Camera Access	Camera image always up while in REVERSE
B	SWE1-RVC-144	leaf	HeadUnitCameraSystems	34.8.1	AUX Camera Access	AUX Button Always Lands on AUX 1 Screen (Variant)
B	SWE1-RVC-145	leaf	HeadUnitCameraSystems	34.8.2	AUX Camera Access	Camera System Unavailable Screen When AUX Not Connected (Variant)
B	SWE1-RVC-146	leaf	HeadUnitCameraSystems	34.8.3	AUX Camera Access	AUX 2 Selectable When AUX 1 Missing but AUX 2 Connected
B	SWE1-RVC-147	leaf	HeadUnitCameraSystems	34.8.4	AUX Camera Access	Same AUX Behavior When Accessing from Cargo Cam (Variant)
B	SWE1-RVC-148	leaf	HeadUnitCameraSystems	34.9.1	AUX Camera Settings	Individual AUX Cam Settings Popup via Settings Line Tap (Variant 3)
B	SWE1-RVC-149	leaf	HeadUnitCameraSystems	34.9.2.1	AUX Camera Settings	Edit Name of Selected AUX Camera
B	SWE1-RVC-150	umbrella	HeadUnitCameraSystems	34.9.2.2	AUX Camera Settings	Reset Camera Default-Name Restoration (Umbrella)
B	SWE1-RVC-150-01	leaf	HeadUnitCameraSystems	34.9.2.2	AUX Camera Settings	Reset Camera restores default camera name
B	SWE1-RVC-150-02	leaf	HeadUnitCameraSystems	34.9.2.2	AUX Camera Settings	Reset Camera restores default soft-control label
B	SWE1-RVC-151	leaf	HeadUnitCameraSystems	34.9.4	AUX Camera Settings	"Edit-Favorite Flow: Press ""Edit Favorite"" in Settings Menu"
B	SWE1-RVC-152	umbrella	HeadUnitCameraSystems	34.9.5	AUX Camera Settings	AUX Camera Name Character Limit and Truncation (Settings Flow)
B	SWE1-RVC-152-01	leaf	HeadUnitCameraSystems	34.9.5	AUX Camera Settings	Name character limit (7 chars/line, 2 lines)
B	SWE1-RVC-152-02	leaf	HeadUnitCameraSystems	34.9.5	AUX Camera Settings	Truncate at character limit per Core Truncation rules
B	SWE1-RVC-152-03	leaf	HeadUnitCameraSystems	34.9.5	AUX Camera Settings	Do not truncate when full word fits
B	SWE1-RVC-153	leaf	HeadUnitCameraSystems	34.9.6	AUX Camera Settings	QWERTY Keyboard for Editing Camera Name with OK Confirmation
B	SWE1-RVC-154	leaf	HeadUnitCameraSystems	34.9.7	AUX Camera Settings	Settings Menu Title Updates After Name Change (Variant)
B	SWE1-RVC-155	leaf	HeadUnitCameraSystems	34.9.8	AUX Camera Settings	New Camera Name Reflected in Settings Line Item (Variant)
B	SWE1-RVC-156	leaf	HeadUnitCameraSystems	34.9.9	AUX Camera Settings	New Camera Name Reflected on Camera App Soft Button (Variant)
B	SWE1-RVC-157	leaf	HeadUnitCameraSystems	34.10.1	AUX Camera Settings	User Can Access Connected AUX Cameras
B	SWE1-RVC-158	leaf	HeadUnitCameraSystems	34.10.2	AUX Camera Settings	Tap AUX Soft Control to Display Camera View Full-Screen
B	SWE1-RVC-159	leaf	HeadUnitCameraSystems	34.10.3	AUX Camera Settings	DT/HDCC + SVC + Camera App: No Left-Corner AUX Access (Variant)
