# CAM-29 §1　A 本來源覆蓋覆核：CAM-28 附帶量測之無紀錄 92 ＋ RD 對帳 NO-TC 無 plan 紀錄 28，去重 94（只覆核不生成）
# disposition：COVERED-BY（內容配對，附 TC 逐字）／DUPLICATE-OF（同句且承接 TC 車型涵蓋本來源平台，機械判）／EXCLUDED（A-CA15）／GAP／BLOCKED（DR-CAM-a：VF617_V5 未到，SYS2 既有本查無，勿造）
source_id	swe_ids	book	platforms	disposition	tc_ids	evidence	test_set_candidate	axis	est_tc	description
SYS-RA-VF551_V42-236	SWE-CAM-015;SWE-CAM-018	vf551_v42	VF(ProMaster)637	GAP	—	NR1L-RVC-031 (637) only covers delay ON with STATUS_CCAN4.ReverseGearSts -> Not_Inserted without Gear_Box_Type; non-MTX branch (ShiftLeverPosition R -> N or D) initializing T_DISPLAY is not tested	Display Arbitration	none	2	IF ((LTM_OperationalModeSts.Info is equal to "Ignition ON" or "Ignition_Start" or "Ignition_On_Prplsn_On" AND the signal Rear_Camera_DelayOff.Req is equal to "ON") AND (the Proxi parameter Gear_Box_Type is different from "MTX" AND the signal TRANSM2.ShiftLeverPosition changes from "R" to "N" or "D" OR (the Proxi parameter Gear_Box_Type is equal to "MTX" AND the signal ENGINE1.ReverseGearSts changes from "Inserted" to "Not_Inserted") ) THEN LTM shall initialize the timer T_DISPLAY.
SYS-RA-VF551_V42-251	SWE-CAM-016	vf551_v42	VF(ProMaster)637	COVERED-BY	NR1L-RVC-023;NR1L-RVC-024	RVC-023: The "Rear View Camera" entry is shown in the available state and can be selected; RVC-024: BCM_FD_10.CmdIgnSts = 3 (ACC) is sent / The "Rear View Camera" entry is shown in the unavailable state and cannot be selected	—	—	—	The Rear View Camera soft button shall be selectable only when the signal LTM_OperationalModeSts.Info equal to  "Ignition ON" or "Ignition_Start" or "Ignition_On_Prplsn_On".
SYS-RA-VF551_V42-265	SWE-CAM-018	vf551_v42	VF(ProMaster)637	GAP	—	NR1L-RVC-029 uses 206/205 (12.875/12.8125 km/h), both below the 637 MAX_SPEED = 13,0 Km/h, so T_Timer is never started/reset on VF(ProMaster)637; 637-specific values needed	Display Arbitration	vehicle	1	IF the signal STATUS_CCAN3.VehicleSpeedVSOSig becomes lower than MAX_SPEED before that the T_Timer expires THEN LTM shall: reset the T_Timer counter.
SYS-RA-VF551_V42-302	SWE-CAM-015;SWE-CAM-018	vf551_v42	VF(ProMaster)637	GAP	—	NR1L-RVCHMI-041/086 check no X in R on 637 only via STATUS_CCAN4.ReverseGearSts (MTX-type signal) without Gear_Box_Type; non-MTX branch (ShiftLeverPosition = R) is not tested	HMI Overlays	none	1	As soon as LTM receives: the signal TRANSM2.ShiftLeverPosition equal to "R" IF the PROXI parameter Gear_Box_Type is different from "MTX"  OR the signal ENGINE1.ReverseGearSts equal to "Inserted" IF the PROXI parameter Gear_Box_Type is equal to "MTX" THEN the Image Defeat "X" soft button shall not be overlaid on the Camera Image
SYS-RA-VF617_V5-186	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-199	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-201	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-202	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-203	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-204	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-205	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-207	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-208	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-209	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-210	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-211	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-222	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-224	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-225	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-226	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-227	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-228	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-229	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-230	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-231	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-232	SWE-CAM-018	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-234	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-235	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-236	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-237	SWE-CAM-015	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-253	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-266	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-273	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-276	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-279	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-282	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-285	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-288	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-291	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-294	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
SYS-RA-VF617_V5-297	SWE-CAM-016	VF617_V5	—	BLOCKED	—	DR-CAM-a（SYS2 VF617_V5 未到；DATA_REQUESTS 已記 -015／-016／-018 之部分來源）	—	—	—	（來源未到）
