outline	req_id	test_set	full_text
14.15	SWE1-HVAC-099	Climate Popups	HVACSB1.) Available comfort controls (driver/passenger heated/vented seats, seat zones and heated wheel) depend on vehicle configuration.
14.16	SWE1-HVAC-100	Climate Popups	HVACSB2.) Driver and Passenger comfort seat features will show currently active or last used state (heated or vented). Press of icon in status bar opens popup and changes level of comfort feature control. User can also press icon within popup to change levels. The heated seats will be labeled as Heat and vented seats labeled as Vent .
14.16.1	SWE1-HVAC-101	Climate Popups	HVACSB2.1.) Seat zone will show currently active or last used state. Press of the icon will toggle through the states of seat zone from (1. both seat back and seat cushion, 2. Seat back only 3. Seat cushion only). Icon will be labelled as Zone . The icon will grey out if the heated and vented seats are off.
14.17	SWE1-HVAC-102	Climate Popups	HVACSB3.) Driver comfort seat feature and Passenger comfort controls are merged with the cabin temperature, and are pressable. When pressed, a popup is displayed with both cabin temp and driver comfort controls.
14.18	SWE1-HVAC-103	Climate Popups	HVACSB5.) Popup will have a 5 sec timeout and restart with additional presses.
14.19	SWE1-HVAC-104	Climate Popups	HVACSB6.) When the Climate widget is shown on the currently displayed screen and the user interacts with climate controls, either soft or hard, pop ups will behave as follows:\n-Temperature Pop-up: only on status bar (do not show drop down menu)\n-FAN Speed Pop-up: show for R1Low, do not show for R1H.\n-Air Flow Mode (distribution) Pop-up: do not show (feedback is already on widget)\n-Climate On/Off Pop-up: do not show (feedback is already on widget)\n-Auto Pop-up: do not show (feedback is already on widget)\n-Heated Seats Pop-up: only on status bar (do not show drop down menu)\n-Vented Seats Pop-up: only on status bar (do not show drop down menu)\n-Heated Steering Wheel Pop-up: only on status bar (do not show drop down menu)
15.1	SWE1-HVAC-105	Climate Popups	HVACP11.1) For different Climate features (Defrost/Max Defrost, AUTO, etc) when a user enters (starts a function) or exits (breaks a function) that function then the HVAC pop ups displayed will follow the chart below. The graphics provided are examples and all pop ups should display current state of the HVAC systems (not the exact pictures below but whatever MODE or FAN SPEED for current system).
16.2	SWE1-HVAC-106	ICS Anatomy	ICE1.) Whenever changes to the climate system are made via hard controls or touchscreen, these changes are reflected in both locations with the exception of the recirculation led in climate off (see ICE11.). Whenever fan speed or temperature hard controls are used (even if at highest/lowest setting), according pop-ups are shown if NOT on climate screen (timeout after 3 sec), and changes are reflected in status bar/ status indicator on category button. When sync'd, do not show slider pop-up on passenger side when adjusting driver slider. If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius) being set, for MTC it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp. If on climate screen, status changes are indicated directly on touchscreen buttons / status indicator on category button and will not be shown in the status bar. If changes are made on climate screen, LEDs on hard controls reflect new status.
16.3	SWE1-HVAC-107	ICS Climate Modes	ICE2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the actual fan speed and none of the Mode buttons will be shown highlighted. The main category control will display Auto with the Mode Man and Fan speed greyed out behind it. AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible. Auto is mutually exclusive with MAX A/C and MAX DEF. Pressing MAX DEF or Max A/C the system goes to that function. If Auto is turned on, these buttons are turned off. In Auto the A/C button is highlighted. Manually selecting A/C keeps the system in AUTO without compressor usage (A/C off). Manually changing airflow mode, or changing fan speeds breaks Auto. When breaking Auto the system will go to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode. Any other climate controls do NOT break Auto. (AUTO is not shown in MTC configurations)
16.4	SWE1-HVAC-108	ICS Climate Modes	ICE3.) MAX A/C, A/C, RECIRC, MAX DEF, and REAR DEFROST have on/off state.
16.5	SWE1-HVAC-109	ICS Climate Modes	ICE4.) The recirc icon will display the vehicle model specific icon as displayed in the Climate Main page table. If the system cannot detect the vehicle model it will display the generic recirc symbol.
16.6	SWE1-HVAC-110	ICS Temperature and Fan	ICE5.) Temperature ranges: LO, 60-84, HI (English), LO, 16-28, HI (Metric). Temperature will display the current degree value the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value. The status is indicated on TS climate screen and in status bar. Show pop-up when status is changed via hard control and currently shown screen is not climate screen. (when sync'd, do not show slider pop-up on passenger side when adjusting driver slider). When the user sets the climate system temperature ranges to Metric the CCM switches to half degree increments . The temperature within the temp slider, status bar, temp slider popup, and temp popup will reflect this change in temperature increments .
16.6.1	SWE1-HVAC-111	ICS Temperature and Fan	ICE5.1) If SYNC is ON, adjusting driver temperature affects passenger temperature, adjusting passenger temperature would break SYNC and turn it off. Change temperature on climate screen by using arrows (move 1 increment up/ down per press, long press = fast move or slider (TEMP pop-up next to slider when touching it so that finger does not cover number). Long press = fast move shall also work for temperature HARD CONTROLS . The system can jump to a value as well via the slider or voice command. User must press slider handle to move temperature slider position; if user initially presses slider area outside of handle, ignore the press. The system can jump to a value as well via a slider bar touch or voice command. The user can also press slider handle to move temperature slider position; if user initially presses slider area outside of handle (i.e. to the left or right of the slider handle), ignore the press.
16.7	SWE1-HVAC-112	ICS Temperature and Fan	ICE6.) Fan ranges: Off, 1-7 (denoting to show AUTO label instead when in AUTO). The status is indicated on TS climate screen and in main category control. Show pop-up when status is changed via hard control and currently shown screen is not climate screen. When on climate screen, user can either use Fan up/down buttons, directly touch a fan segment to jump or slide, or use Hard Control. The user shall not be able to turn the FAN off by using the FAN controls on the screen or the FAN hard control. There would always be one bar highlighted. The only way to have all FAN bars grayed out is by shutting the CLIMATE system OFF (using climate power button on the screen or hard control).
16.8	SWE1-HVAC-113	ICS Airflow and Defrost	ICE7.) MAX DEF automatically turns on A/C, changes airflow modes to Windshield, increases fan speed at highest setting (7/7), sets temperature (driver and passenger if available) at highest setting (HI), change RECIRC to open (LED off), turns on Sync and activates the REAR DEFROST. MAX DEF switches off automatically after a set time after which the system goes back to the previous manual mode. Change in fan speed doesn’t break MAX DEF. Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on. Pressing A/C brakes MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C off. Pressing AUTO breaks MAX DEF (turns MAX DEF off) and the system goes to AUTO. Similarly, pressing MAX A/C turns MAX DEF off (turns MAX DEF off) and the system goes to MAX A/C.
16.9	SWE1-HVAC-114	ICS Airflow and Defrost	ICE8.) Rear Defrost has on/ off state. Gray out the REAR DEFROST button when rear defrost availability status from CCM denotes that .
16.10	SWE1-HVAC-115	ICS Climate Modes	ICE9.) Climate off has on/off state that is indicated on HC, TS (climate screen) and in status bar. When the system is turned off, show the CLIMATE OFF screen with the OFF button turned into an ON button and grey out remaining buttons except for Front/Max defrost and rear defrost. The Main category control shows fan speed segments off and mode Oscar replaced with "OFF" which will remain until the user turns it back on. Temperatures and units (°F/C) in status bar are substituted by dashes in all modes when climate is off. Actions on rear defrost, heated/vented seats or heated wheel don t reactivate climate (climate still off). Actions on any other climate hard controls turns system back on. When climate is OFF, the recirculation LED of the hard control is on. Action on the recirculation hard control will not turn system back on; it simply opens the recirculation and turns led off. If a user presses a temp/fan hard control to turn climate back on, the system reinstates to the last level of that feature and the climate system turns back on (does not happen with recirculation, rear defrost, heated/vented seats or heated wheel). If the user continues to hold/turn the control, the system will respond in-kind.
16.11	SWE1-HVAC-116	ICS Climate Modes	ICE10.) SYNC has on/ off state that is indicated on climate screen (highlight button if SYNC). Sync is not shown for single zone climate configurations. Sync synchronizes driver and passenger temperatures to the driver temperature. When SYNC is on, changing the driver temperature automatically changes the passenger temperature. Adjusting the passenger temperature via touchscreen or hard control would break SYNC. Adjusting Fan speed and Mode will alter the Front and Rear passengers. If the rear fan speed, mode, or temp are adjust from either the touchscreen or rear climate controls will break SYNC and turn it off.
16.12	SWE1-HVAC-117	ICS Airflow and Defrost	ICE11.) Airflow Modes has 5 states (1.Face, 2.Mix of Face & Feet, 3.Feet, 4.Mix of Feet & Windshield, 5. Windshield). ON state for the four airflow modes is shown by highlighting the button and increasing button size. The main category control will display the newly selected airflow mode inside the fan space . Only one airflow mode can be selected at a time.
16.12.1	SWE1-HVAC-118	ICS Airflow and Defrost	ICE11.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet/Windshield > Windshield), the user will be shifted with each press, press and hold of the control will only move one mode over, it will not continue to move through modes. When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted. if the user is not on Climate main when pressing the Mode hard control a small pop -up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main. In both cases the main category label will be updated. While in Rear Climate screen the Mode Hard Control button will alter the front Mode.
16.13	SWE1-HVAC-119	ICS Climate Modes	ICE12.) If the system supports Max A/C it will be displayed on the screen next to the A/C button. MAX A/C has an on/off state that is indicated on climate screen (highlight button if on). MAX A/C automatically turns on A/C, changes airflow modes to Face, increases fan speed at highest setting (7/7), sets temperature (driver and passenger if available) at lowest setting (LO), change RECIRC to closed (led on), and turns on Sync. Change in fan speed deactivates MAX A/C (un-highlight MAX A/C) while maintaining system in current state with change in fan speed. Changing temperature, recirculation, mode distribution, or pressing again MAX A/C brakes MAX A/C, (turns MAX A/C off) and the system goes back to the previous manual mode except for the element changed (temperature, or mode, or recirculation) and keeps the A/C on. Pressing A/C, brakes MAX A/C (turns MAX A/C off) and the system goes back to the previous manual mode with the A/C off. Pressing AUTO brakes MAX A/C (turns MAX A/C off) and the system goes to AUTO. Similarly, pressing MAX DEF turns MAX A/C off (turns MAX A/C off) and the system goes to MAX DEF.
16.14	SWE1-HVAC-120	ICS Anatomy	ICE13.) MTC screens/popups are to be used when CCM relays MTC functionality. MTC climate is primarily differentiated from ATC by the lack of discrete temperature settings and "Auto" control over the set temperature.
16.15	SWE1-HVAC-121	ICS Airflow and Defrost	ICE14.) EXTERIOR REAR-VIEW MIRROR DEFROST has on/ off state. EXTERIOR REAR-VIEWMIRROR DEFROST is independent of any other climate functions.
16.16	SWE1-HVAC-122	ICS Anatomy	ICE15.) Always show 'Driver' or 'Passenger'. Off icon of seats will depend on system configuration (see Climate section). Active state text color is white. Inactive state text color is gray. When entering the controls screen the current state of the buttons will be displayed.
16.17	SWE1-HVAC-123	ICS Temperature and Fan	C16.) If blower reduction occurs automatically due to an active Voice Recognition session , the change in fan speed is not displayed to the user.
17.1	SWE1-HVAC-124	Home Screen Widget	W0.) The Comfort widget will have two screens: Comfort and Seats. (Refer to the Comfort – Front Comfort/Climate and Comfort – Heated/Vented Seats HMI sections for complete logic.)
17.2	SWE1-HVAC-125	Home Screen Widget	CW1.) The default screen for the Comfort widget is the Climate screen and includes driver and passenger temperature, auto button, sync button, Max A/C, and airflow modes. 12' Portrait 50% widget also includes fan speed.
17.3	SWE1-HVAC-126	Home Screen Widget	CW2.) The second Comfort widget screen includes all Comfort features available to the vehicle (i.e. Heated/Vented seats, Heated steering wheel). On the 50% widget, these features are separated between driver and passenger. If the vehicle is not equipped with Comfort Features this widget page will not be shown.
17.4	SWE1-HVAC-127	Home Screen Widget	CW3.) For 8.4/10.1/12 landscaped screens, there will be a toggle button on the 25% widget to switch between either Heat or Vent, which will toggle between the two different control types.
17.5	SWE1-HVAC-128	Home Screen Widget	CW4.) For dual zone climate with dual airflow modes equipped vehicles, their widget will have driver and passenger temperature along with two sets of airflow modes, one for the driver and one for the passenger.
18.1	SWE1-HVAC-129	Home Screen Widget	W0.) The Comfort widget will have two screens: Comfort and Seats.
