B	_seq	_src	C	D	G	H	I	J	K	L	M	N	P	R	AA	AH	F
355	379	vf230_batch03.json	SWITCH 2 Power Mode	SWE1-VC-SWITCH2PowerMode-036	Vehicle Setting	Auxiliary Switches	"When the HMI receives the IGNITION or BATTERY value via signal $IPC_VEHICLE_SETUP2.AUX2_PWRMD$, the HMI shall display the corresponding SWITCH 2 Power Mode status on the display within the defined system response time.

(read the Vehicle Settings menu and check that the SWITCH 2 Power Mode setting is displayed as Ignition -> The SWITCH 2 Power Mode setting is displayed as Ignition)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP2.AUX2_PWRMD = one of [0 (Ignition), 1 (Battery)]	"1. Send CAN: IPC_VEHICLE_SETUP2.AUX2_PWRMD = 1 (Battery)
2. Send CAN: IPC_VEHICLE_SETUP2.AUX2_PWRMD = 0 (Ignition)
3. Read the Vehicle Settings menu and check that the SWITCH 2 Power Mode setting is displayed as Ignition"	"1. IPC_VEHICLE_SETUP2.AUX2_PWRMD = 1 (Battery) is sent
2. IPC_VEHICLE_SETUP2.AUX2_PWRMD = 0 (Ignition) is sent
3. The SWITCH 2 Power Mode setting is displayed as Ignition"	VF230_V1_PDT27_VF_6125	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu	"Upstream Verification Criteria: In which scenario the IPC_VEHICLE_SETUP2.AUX2_PWRMD signal will be received is not clear
Upstream Verification Method: In which scenario the IPC_VEHICLE_SETUP2.AUX2_PWRMD signal will be received is not clear"	
356	380	vf230_batch03.json	Headlights Off Delay	SWE1-VC-HeadlightsOffDelay-010	Vehicle Setting	Daytime Lighting	"HMI receives the value as 0sec via signal, $TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req$, Then HMI shall display the Headlights Off Delay status as 0 Seconds.

(read the Vehicle Settings menu and check that the Headlights Off Delay setting is displayed as 0sec -> The Headlights Off Delay setting is displayed as 0sec)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Headlights Off Delay"" customer setting is set to 30sec"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Headlights Off Delay"" customer setting to 0sec and check that TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req = 0 (0sec) is transmitted
3. Read the Vehicle Settings menu and check that the Headlights Off Delay setting is displayed as 0sec"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req = 0 (0sec) is sent
3. The Headlights Off Delay setting is displayed as 0sec"	VF230_V1_PHDCC27_VF_5701	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
357	381	vf230_batch03.json	Horn With Remote Start	SWE1-VC-HornWithRemoteStart-028	Vehicle Setting	Driver Convenience	"If $Sound_Horn_Remote_Start_Menu$ = [Present], the LTM or ETM shall display the Horn With Remote Start customer setting to allow the customer the ability to modify the setting.

(select the ""Horn With Remote Start"" customer setting and check that its value can be changed -> The value of the ""Horn With Remote Start"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $Sound_Horn_Remote_Start_Menu$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Horn With Remote Start"" customer setting is displayed
4. Select the ""Horn With Remote Start"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Horn With Remote Start"" customer setting is displayed
4. The value of the ""Horn With Remote Start"" customer setting can be changed"	VF230_V1_PHDCC27_VF_5720	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
358	382	vf230_batch03.json	Power Unit	SWE1-VC-PowerUnit-010	Vehicle Setting	Measurement Units	"HMI receives the value as Present via signal , $SRT$ ,Then HMI shall display the (Power Unit) , to customer setting allow the customer the ability to modify the setting.

(select the ""Power Unit"" customer setting and check that its value can be changed -> The value of the ""Power Unit"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $(SRT)$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Power Unit"" customer setting is displayed
4. Select the ""Power Unit"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Power Unit"" customer setting is displayed
4. The value of the ""Power Unit"" customer setting can be changed"	VF230_V1_PHDCC27_VF_5681	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
359	383	vf230_batch03.json	Tilt Mirror in Reverse	SWE1-VC-TiltMirrorinReverse-016	Vehicle Setting	Suspension and Comfort	"Then the HMI/LTM/ETM shall update the Tilt Mirror in Reverse customer setting status to OFF in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the Tilt Mirror in Reverse setting is displayed as Off -> The Tilt Mirror in Reverse setting is displayed as Off)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Tilt Mirror in Reverse"" customer setting is set to On"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Tilt Mirror in Reverse"" customer setting to Off and check that TELEMATIC_VEHICLE_SETUP.Tilt_Mirr_Rev_Req = 0 (Off) is transmitted
3. Read the Vehicle Settings menu and check that the Tilt Mirror in Reverse setting is displayed as Off"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Tilt_Mirr_Rev_Req = 0 (Off) is sent
3. The Tilt Mirror in Reverse setting is displayed as Off"	VF230_V1_PHDCC27_VF_5887	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
360	384	vf230_batch03.json	CHMSL CAMERA DYNAMIC CENTERLINE	SWE1-VC-CHMSL CAMERA DYNAMIC CENTERLINE-135	Vehicle Setting	Trailer and Signage	"If Digital_CHMSL_Camera_Prsnt = [Present], the LTM or ETM shall display the CHMSL Camera Dynamic Centerline customer setting to allow the customer the ability to modify the setting.

(select the ""CHMSL CAMERA DYNAMIC CENTERLINE"" customer setting and check that its value can be changed -> The value of the ""CHMSL CAMERA DYNAMIC CENTERLINE"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $Digital_CHMSL_Camera_Prsnt$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""CHMSL CAMERA DYNAMIC CENTERLINE"" customer setting is displayed
4. Select the ""CHMSL CAMERA DYNAMIC CENTERLINE"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""CHMSL CAMERA DYNAMIC CENTERLINE"" customer setting is displayed
4. The value of the ""CHMSL CAMERA DYNAMIC CENTERLINE"" customer setting can be changed"	VF230_V1_PHDCC27_VF_7517	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
361	385	vf230_batch03.json	Temperature Unit	SWE1-VC-TemperatureUnit-047	Vehicle Setting	Units and Cameras	"If $External_Temperature_Sensor$ = [Present], the LTM or ETM shall display the Temperature Unit customer setting.

(select the ""Temperature Unit"" customer setting and check that its value can be changed -> The value of the ""Temperature Unit"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $External_Temperature_Sensor$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Temperature Unit"" customer setting is displayed
4. Select the ""Temperature Unit"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Temperature Unit"" customer setting is displayed
4. The value of the ""Temperature Unit"" customer setting can be changed"	VF230_V1_PHDCC27_VF_5672	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
362	386	vf230_batch03.json	Paddle Shifter	SWE1-VC-PaddleShifter-011	Vehicle Setting	Approach and Tailgate	"When the HMI receives the value Present via signal, $Paddle_Shifter_Menu$, Then the HMI shall display the Paddle Shifter customer setting in the Vehicle Settings menu and allow the customer to modify the setting.

(select the ""Paddle Shifter"" customer setting and check that its value can be changed -> The value of the ""Paddle Shifter"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $Paddle_Shifter_Menu$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Paddle Shifter"" customer setting is displayed
4. Select the ""Paddle Shifter"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Paddle Shifter"" customer setting is displayed
4. The value of the ""Paddle Shifter"" customer setting can be changed"	VF230_V1_PDT27_VF_5847	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
363	387	vf230_batch03.json	SWITCH 3 Power Mode	SWE1-VC-SWITCH3PowerMode-038	Vehicle Setting	Auxiliary Switches	"HMI receives the value as IGNITION via signal, $TELEMATIC_FD_1.AUX3_PWRMD_Req$ Then HMI shall display the SWITCH 3 Power Mode status as IGNITION.

(read the Vehicle Settings menu and check that the SWITCH 3 Power Mode setting is displayed as Ignition -> The SWITCH 3 Power Mode setting is displayed as Ignition)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""SWITCH 3 Power Mode"" customer setting is set to Battery"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""SWITCH 3 Power Mode"" customer setting to Ignition and check that TELEMATIC_FD_1.AUX3_PWRMD_Req = 0 (Ignition) is transmitted
3. Read the Vehicle Settings menu and check that the SWITCH 3 Power Mode setting is displayed as Ignition"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_FD_1.AUX3_PWRMD_Req = 0 (Ignition) is sent
3. The SWITCH 3 Power Mode setting is displayed as Ignition"	VF230_V1_PDT27_VF_6126	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
364	388	vf230_batch03.json	Headlights Off Delay	SWE1-VC-HeadlightsOffDelay-011	Vehicle Setting	Daytime Lighting	"HMI receives the value as 30sec via signal, $TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req$ Then HMI shall display the Headlights Off Delay status as 30 Seconds.

(read the Vehicle Settings menu and check that the Headlights Off Delay setting is displayed as 30sec -> The Headlights Off Delay setting is displayed as 30sec)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Headlights Off Delay"" customer setting is set to 0sec"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Headlights Off Delay"" customer setting to 30sec and check that TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req = 1 (30sec) is transmitted
3. Read the Vehicle Settings menu and check that the Headlights Off Delay setting is displayed as 30sec"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req = 1 (30sec) is sent
3. The Headlights Off Delay setting is displayed as 30sec"	VF230_V1_PHDCC27_VF_5699	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
365	389	vf230_batch03.json	Horn With Lock	SWE1-VC-HornWithLock-033	Vehicle Setting	Driver Convenience	"If $Horn_Chirp_Menu$ = [Absent], the LTM or ETM shall not display the Horn With Lock customer setting.

(read the Vehicle Settings menu and check that the ""Horn With Lock"" customer setting is not displayed -> The ""Horn With Lock"" customer setting is not displayed)"	"1. The HU is in the Full-Operation state
2. PROXI $Horn_Chirp_Menu$ is set to ""Absent"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Horn With Lock"" customer setting is not displayed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Horn With Lock"" customer setting is not displayed"	VF230_V1_PHDCC27_VF_2269	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
366	390	vf230_batch03.json	Power Unit	SWE1-VC-PowerUnit-011	Vehicle Setting	Measurement Units	"HMI receives the value as HP via signal, $TELEMATIC_VEHICLE_SETUP.HP_Unit_Req$ Then HMI shall display the Power Unit status as HP.

(read the Vehicle Settings menu and check that the Power Unit setting is displayed as HP -> The Power Unit setting is displayed as HP)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Power Unit"" customer setting is set to kW"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Power Unit"" customer setting to HP and check that TELEMATIC_VEHICLE_SETUP.HP_Unit_Req = 0 (HP) is transmitted
3. Read the Vehicle Settings menu and check that the Power Unit setting is displayed as HP"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.HP_Unit_Req = 0 (HP) is sent
3. The Power Unit setting is displayed as HP"	VF230_V1_PHDCC27_VF_5682	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
367	391	vf230_batch03.json	Tilt Mirror in Reverse	SWE1-VC-TiltMirrorinReverse-017	Vehicle Setting	Suspension and Comfort	"Then the HMI/LTM/ETM shall update the Tilt Mirror in Reverse customer setting status to ON in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the Tilt Mirror in Reverse setting is displayed as On -> The Tilt Mirror in Reverse setting is displayed as On)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Tilt Mirror in Reverse"" customer setting is set to Off"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Tilt Mirror in Reverse"" customer setting to On and check that TELEMATIC_VEHICLE_SETUP.Tilt_Mirr_Rev_Req = 1 (On) is transmitted
3. Read the Vehicle Settings menu and check that the Tilt Mirror in Reverse setting is displayed as On"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Tilt_Mirr_Rev_Req = 1 (On) is sent
3. The Tilt Mirror in Reverse setting is displayed as On"	VF230_V1_PHDCC27_VF_5888	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
368	392	vf230_batch03.json	Max Power Level	SWE1-VC-MaxPowerLevel140	Vehicle Setting	Trailer and Signage	"If Hybrid_Type = [Range Electric Paradigm Breaker (REPB)], the ETM or LTM shall display the Max SOC Level customer setting to allow the customer the ability to modify the setting.

(select the ""Max Power Level"" customer setting and check that its value can be changed -> The value of the ""Max Power Level"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $Hybrid_Type$ is set to ""Range Electric Paradigm Breaker (REPB)"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Max Power Level"" customer setting is displayed
4. Select the ""Max Power Level"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Max Power Level"" customer setting is displayed
4. The value of the ""Max Power Level"" customer setting can be changed"	VF230_V1_PHDCC27_VF_8300	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu	"Upstream Verification Criteria: Scenario of checking PROXI parameter is not clear
Upstream Verification Method: Scenario of checking PROXI parameter is not clear"	
369	393	vf230_batch03.json	Surround View Camera Delay	SWE1-VC-SurroundViewCameraDelay-053	Vehicle Setting	Units and Cameras	"If $Surround_View_Camera$ = [Absent], the LTM or ETM shall not display the Surround View Camera Delay customer setting.

(read the Vehicle Settings menu and check that the ""Surround View Camera Delay"" customer setting is not displayed -> The ""Surround View Camera Delay"" customer setting is not displayed)"	"1. The HU is in the Full-Operation state
2. PROXI $SVC_SK_PRSNT (Surround_View_Camera)$ is set to ""Absent"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Surround View Camera Delay"" customer setting is not displayed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Surround View Camera Delay"" customer setting is not displayed"	VF230_V1_PHDCC27_VF_3548	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
370	394	vf230_batch03.json	Paddle Shifter	SWE1-VC-PaddleShifter-012	Vehicle Setting	Approach and Tailgate	"When the HMI receives the value as [Off] via signal, $TELEMATIC_VEHICLE_SETUP.Paddle_Shifter_Req$, Then the HMI shall display the Paddle Shifter status as Off.

(read the Vehicle Settings menu and check that the Paddle Shifter setting is displayed as Off -> The Paddle Shifter setting is displayed as Off)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Paddle Shifter"" customer setting is set to On"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Paddle Shifter"" customer setting to Off and check that TELEMATIC_VEHICLE_SETUP.Paddle_Shifter_Req = 0 (Off) is transmitted
3. Read the Vehicle Settings menu and check that the Paddle Shifter setting is displayed as Off"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Paddle_Shifter_Req = 0 (Off) is sent
3. The Paddle Shifter setting is displayed as Off"	VF230_V1_PDT27_VF_5848	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
371	395	vf230_batch03.json	SWITCH 3 Power Mode	SWE1-VC-SWITCH3PowerMode-039	Vehicle Setting	Auxiliary Switches	"HMI receives the value as BATTERY via signal, $TELEMATIC_FD_1.AUX3_PWRMD_Req$ Then HMI shall display the SWITCH 3 Power Mode status as BATTERY.

(read the Vehicle Settings menu and check that the SWITCH 3 Power Mode setting is displayed as Battery -> The SWITCH 3 Power Mode setting is displayed as Battery)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""SWITCH 3 Power Mode"" customer setting is set to Ignition"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""SWITCH 3 Power Mode"" customer setting to Battery and check that TELEMATIC_FD_1.AUX3_PWRMD_Req = 1 (Battery) is transmitted
3. Read the Vehicle Settings menu and check that the SWITCH 3 Power Mode setting is displayed as Battery"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_FD_1.AUX3_PWRMD_Req = 1 (Battery) is sent
3. The SWITCH 3 Power Mode setting is displayed as Battery"	VF230_V1_PDT27_VF_6127	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
372	396	vf230_batch03.json	Headlights Off Delay	SWE1-VC-HeadlightsOffDelay-012	Vehicle Setting	Daytime Lighting	"HMI receives the value as 60sec via signal, $TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req$ Then HMI shall display the Headlights Off Delay status as 60 Seconds.

(read the Vehicle Settings menu and check that the Headlights Off Delay setting is displayed as 60sec -> The Headlights Off Delay setting is displayed as 60sec)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Headlights Off Delay"" customer setting is set to 0sec"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Headlights Off Delay"" customer setting to 60sec and check that TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req = 2 (60sec) is transmitted
3. Read the Vehicle Settings menu and check that the Headlights Off Delay setting is displayed as 60sec"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.HeadlightsOffDelay_Req = 2 (60sec) is sent
3. The Headlights Off Delay setting is displayed as 60sec"	VF230_V1_PHDCC27_VF_5698	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
373	397	vf230_batch03.json	Horn With Lock	SWE1-VC-HornWithLock-034	Vehicle Setting	Driver Convenience	"If $Horn_Chirp_Menu$ = [Present], the LTM or ETM shall display the Horn With Lock customer setting to allow the customer the ability to modify the setting.

(select the ""Horn With Lock"" customer setting and check that its value can be changed -> The value of the ""Horn With Lock"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $Horn_Chirp_Menu$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Horn With Lock"" customer setting is displayed
4. Select the ""Horn With Lock"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Horn With Lock"" customer setting is displayed
4. The value of the ""Horn With Lock"" customer setting can be changed"	VF230_V1_PHDCC27_VF_5724	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
374	398	vf230_batch03.json	Greeting Lights	SWE1-VC-GreetingLights-012	Vehicle Setting	Lane and Lighting	"The HW Supplier / ECU shall send the updated Greeting Lights status via the IPC_VEHICLE_SETUP.GreetingLightsEnable signal.

(read the Vehicle Settings menu and check that the Greeting Lights setting is displayed as True -> The Greeting Lights setting is displayed as True)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP.GreetingLightsEnable = one of [0 (True), 1 (False)]	"1. Send CAN: IPC_VEHICLE_SETUP.GreetingLightsEnable = 1 (False)
2. Send CAN: IPC_VEHICLE_SETUP.GreetingLightsEnable = 0 (True)
3. Read the Vehicle Settings menu and check that the Greeting Lights setting is displayed as True"	"1. IPC_VEHICLE_SETUP.GreetingLightsEnable = 1 (False) is sent
2. IPC_VEHICLE_SETUP.GreetingLightsEnable = 0 (True) is sent
3. The Greeting Lights setting is displayed as True"	VF230_V1_PHDCC27_VF_5621	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
375	399	vf230_batch03.json	Power Unit	SWE1-VC-PowerUnit-012	Vehicle Setting	Measurement Units	"HMI receives the value as PS via signal, $TELEMATIC_VEHICLE_SETUP.HP_Unit_Req$ Then HMI shall display the Power Unit status as PS.

(read the Vehicle Settings menu and check that the Power Unit setting is displayed as PS -> The Power Unit setting is displayed as PS)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Power Unit"" customer setting is set to HP"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Power Unit"" customer setting to PS and check that TELEMATIC_VEHICLE_SETUP.HP_Unit_Req = 2 (PS) is transmitted
3. Read the Vehicle Settings menu and check that the Power Unit setting is displayed as PS"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.HP_Unit_Req = 2 (PS) is sent
3. The Power Unit setting is displayed as PS"	VF230_V1_PHDCC27_VF_5683	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
376	400	vf230_batch03.json	Tilt Mirror in Reverse	SWE1-VC-TiltMirrorinReverse-018	Vehicle Setting	Suspension and Comfort	"When the LTM or ETM receives the value via signal $ IPC_VEHICLE_SETUP.Tilt_Mirr_Rev$, the LTM or ETM shall update the Suspension Service Mode setting status Information on the display within the defined system response time.

(read the Vehicle Settings menu and check that the Tilt Mirror in Reverse setting is displayed as Off -> The Tilt Mirror in Reverse setting is displayed as Off)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The Vehicle Settings menu is open"	IPC_VEHICLE_SETUP.Tilt_Mirr_Rev = one of [0 (Off), 1 (On)]	"1. Send CAN: IPC_VEHICLE_SETUP.Tilt_Mirr_Rev = 1 (On)
2. Send CAN: IPC_VEHICLE_SETUP.Tilt_Mirr_Rev = 0 (Off)
3. Read the Vehicle Settings menu and check that the Tilt Mirror in Reverse setting is displayed as Off"	"1. IPC_VEHICLE_SETUP.Tilt_Mirr_Rev = 1 (On) is sent
2. IPC_VEHICLE_SETUP.Tilt_Mirr_Rev = 0 (Off) is sent
3. The Tilt Mirror in Reverse setting is displayed as Off"	VF230_V1_PHDCC27_VF_5889	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
377	401	vf230_batch03.json	Trailer Number	SWE1-VC-TrailerNumber-059	Vehicle Setting	Trailer and Signage	"When the HMI receives the value Absent via signal, $CAN_Node_95_ITBM_ITCM$, Then the HMI shall not display the Trailer Number customer setting in the Vehicle Settings menu.

(read the Vehicle Settings menu and check that the ""Trailer Number"" customer setting is not displayed -> The ""Trailer Number"" customer setting is not displayed)"	"1. The HU is in the Full-Operation state
2. PROXI $CAN node 95 (ITBM/ITCM)$ is set to ""Absent"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Trailer Number"" customer setting is not displayed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Trailer Number"" customer setting is not displayed"	VF230_V1_PDT27_VF_6028	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
378	402	vf230_batch03.json	Surround View Camera Delay	SWE1-VC-SurroundViewCameraDelay-054	Vehicle Setting	Units and Cameras	"If $Surround_View_Camera$ = [Present], the LTM or ETM shall display the Surround View Camera Delay customer setting.

(select the ""Surround View Camera Delay"" customer setting and check that its value can be changed -> The value of the ""Surround View Camera Delay"" customer setting can be changed)"	"1. The HU is in the Full-Operation state
2. PROXI $SVC_SK_PRSNT (Surround_View_Camera)$ is set to ""Present"""	NA	"1. Power cycle the HU
2. Open the Vehicle Settings menu and wait until it is fully rendered
3. Read the Vehicle Settings menu and check that the ""Surround View Camera Delay"" customer setting is displayed
4. Select the ""Surround View Camera Delay"" customer setting and check that its value can be changed"	"1. The HU completes start-up
2. The Vehicle Settings menu is displayed
3. The ""Surround View Camera Delay"" customer setting is displayed
4. The value of the ""Surround View Camera Delay"" customer setting can be changed"	VF230_V1_PHDCC27_VF_5861	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
379	403	vf230_batch03.json	Paddle Shifter	SWE1-VC-PaddleShifter-013	Vehicle Setting	Approach and Tailgate	"When the HMI receives the value as [On] via signal, $TELEMATIC_VEHICLE_SETUP.Paddle_Shifter_Req$, Then the HMI shall display the Paddle Shifter status as On.

(read the Vehicle Settings menu and check that the Paddle Shifter setting is displayed as On -> The Paddle Shifter setting is displayed as On)"	"1. The HU is in the Full-Operation state
2. FD-CAN8 is connected to the bus simulator with signal tracing enabled
3. The ""Paddle Shifter"" customer setting is set to Off"	NA	"1. Open the Vehicle Settings menu and wait until it is fully rendered
2. Set the ""Paddle Shifter"" customer setting to On and check that TELEMATIC_VEHICLE_SETUP.Paddle_Shifter_Req = 1 (On) is transmitted
3. Read the Vehicle Settings menu and check that the Paddle Shifter setting is displayed as On"	"1. The Vehicle Settings menu is displayed
2. TELEMATIC_VEHICLE_SETUP.Paddle_Shifter_Req = 1 (On) is sent
3. The Paddle Shifter setting is displayed as On"	VF230_V1_PDT27_VF_5849	P1	等價劃分 (Equivalence Partitioning, EP)	PeiPYHsu		
