row037	swe	kind	title_prefix	title
256	SWE1-Diagnostics-249	negative	SiriusXM	SiriusXM - Handle negative response while reading Subscription Suspend Month via DID $2844
257	SWE1-Diagnostics-250	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Subscription Suspend Month via DID $2844
258	SWE1-Diagnostics-251	positive	SiriusXM	SiriusXM - Read Subscription Suspend Day via DID $2844
259	SWE1-Diagnostics-252	negative	SiriusXM	SiriusXM - Handle negative response while reading Subscription Suspend Day via DID $2844
260	SWE1-Diagnostics-253	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Subscription Suspend Day via DID $2844
261	SWE1-Diagnostics-254	positive	SiriusXM	SiriusXM - Read Subscription Reason Text via DID $2844
262	SWE1-Diagnostics-255	negative	SiriusXM	SiriusXM - Handle negative response while reading Subscription Reason Text via DID $2844
263	SWE1-Diagnostics-256	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Subscription Reason Text via DID $2844
264	SWE1-Diagnostics-257	positive	SiriusXM	SiriusXM - Read Subscription Reason Code via DID $2844
265	SWE1-Diagnostics-258	negative	SiriusXM	SiriusXM - Handle negative response while reading Subscription Reason Code via DID $2844
266	SWE1-Diagnostics-259	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Subscription Reason Code via DID $2844
267	SWE1-Diagnostics-260	positive	SiriusXM	SiriusXM - Read Radio ID (8 ASCII characters) via DID $2844
268	SWE1-Diagnostics-261	negative	SiriusXM	SiriusXM - Handle negative response while reading Radio ID via DID $2844
269	SWE1-Diagnostics-262	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Radio ID via DID $2844
270	SWE1-Diagnostics-263	positive	SiriusXM	SiriusXM - Read Subscription Phone Number via DID $2844
271	SWE1-Diagnostics-264	negative	SiriusXM	SiriusXM - Handle negative response while reading Subscription Phone Number via DID $2844
272	SWE1-Diagnostics-265	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Subscription Phone Number via DID $2844
273	SWE1-Diagnostics-266	positive	SiriusXM	SiriusXM - Read Subscription Status (Not Subscribed / Subscribed / Suspend Alert / Suspended) via DID $2844
274	SWE1-Diagnostics-267	negative	SiriusXM	SiriusXM - Handle negative response while reading Subscription Status via DID $2844
275	SWE1-Diagnostics-268	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Subscription Status via DID $2844
276	SWE1-Diagnostics-269	positive	SiriusXM	SiriusXM - Read SXI Rev Minor version via DID $2843
277	SWE1-Diagnostics-270	negative	SiriusXM	SiriusXM - Handle negative response while reading SXI Rev Minor via DID $2843
278	SWE1-Diagnostics-271	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading SXI Rev Minor via DID $2843
279	SWE1-Diagnostics-272	positive	SiriusXM	SiriusXM - Read SXI Rev Major version via DID $2843
280	SWE1-Diagnostics-273	negative	SiriusXM	SiriusXM - Handle negative response while reading SXI Rev Major via DID $2843
281	SWE1-Diagnostics-274	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading SXI Rev Major via DID $2843
282	SWE1-Diagnostics-275	positive	SiriusXM	SiriusXM - Read SXI Rev Incremental version via DID $2843
283	SWE1-Diagnostics-276	negative	SiriusXM	SiriusXM - Handle negative response while reading SXI Rev Inc via DID $2843
284	SWE1-Diagnostics-277	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading SXI Rev Inc via DID $2843
285	SWE1-Diagnostics-278	positive	SiriusXM	SiriusXM - Read RF Rev Minor version via DID $2843
286	SWE1-Diagnostics-279	negative	SiriusXM	SiriusXM - Handle negative response while reading RF Rev Minor via DID $2843
287	SWE1-Diagnostics-280	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading RF Rev Minor via DID $2843
288	SWE1-Diagnostics-281	positive	SiriusXM	SiriusXM - Read RF Rev Major version via DID $2843
289	SWE1-Diagnostics-282	negative	SiriusXM	SiriusXM - Handle negative response while reading RF Rev Major via DID $2843
290	SWE1-Diagnostics-283	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading RF Rev Major via DID $2843
291	SWE1-Diagnostics-284	positive	SiriusXM	SiriusXM - Read RF Rev Incremental version via DID $2843
292	SWE1-Diagnostics-285	negative	SiriusXM	SiriusXM - Handle negative response while reading RF Rev Inc via DID $2843
293	SWE1-Diagnostics-286	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading RF Rev Inc via DID $2843
294	SWE1-Diagnostics-287	positive	SiriusXM	SiriusXM - Read Module Type ID C via DID $2843
295	SWE1-Diagnostics-288	negative	SiriusXM	SiriusXM - Handle negative response while reading Module Type ID C via DID $2843
296	SWE1-Diagnostics-289	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Module Type ID C
297	SWE1-Diagnostics-290	positive	SiriusXM	SiriusXM - Read Module Type ID C via DID $2843
298	SWE1-Diagnostics-291	negative	SiriusXM	SiriusXM - Handle negative response while reading Module Type ID C via DID $2843
299	SWE1-Diagnostics-292	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Module Type ID C
300	SWE1-Diagnostics-293	positive	SiriusXM	SiriusXM - Read Module Type ID A via DID $2843
301	SWE1-Diagnostics-294	negative	SiriusXM	SiriusXM - Handle negative response while reading Module Type ID A via DID $2843
302	SWE1-Diagnostics-295	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Module Type ID A
303	SWE1-Diagnostics-296	positive	SiriusXM	SiriusXM - Read Module HW Type C via DID $2843
304	SWE1-Diagnostics-297	negative	SiriusXM	SiriusXM - Handle negative response while reading Module HW Type C via DID $2843
305	SWE1-Diagnostics-298	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Module HW Type C
306	SWE1-Diagnostics-299	positive	SiriusXM	SiriusXM - Read Module HW Type B via DID $2843
307	SWE1-Diagnostics-300	negative	SiriusXM	SiriusXM - Handle negative response while reading Module HW Type B via DID $2843
308	SWE1-Diagnostics-301	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Module HW Type B
309	SWE1-Diagnostics-302	positive	SiriusXM	SiriusXM - Read Module HW Rev A via DID $2843
310	SWE1-Diagnostics-303	negative	SiriusXM	SiriusXM - Handle negative response while reading Module HW Rev A via DID $2843
311	SWE1-Diagnostics-304	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Module HW Rev A
312	SWE1-Diagnostics-305	positive	SiriusXM	SiriusXM - Read Mod SW Rev Minor via DID $2843
313	SWE1-Diagnostics-306	negative	SiriusXM	SiriusXM - Handle negative response while reading Mod SW Rev Minor via DID $2843
314	SWE1-Diagnostics-307	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Mod SW Rev Minor
315	SWE1-Diagnostics-308	positive	SiriusXM	SiriusXM - Read Mod SW Rev Major via DID $2843
316	SWE1-Diagnostics-309	negative	SiriusXM	SiriusXM - Handle negative response while reading Mod SW Rev Major via DID $2843
317	SWE1-Diagnostics-310	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Mod SW Rev Major
318	SWE1-Diagnostics-311	positive	SiriusXM	SiriusXM - Read Mod SW Rev Inc via DID $2843
319	SWE1-Diagnostics-312	negative	SiriusXM	SiriusXM - Handle negative response while reading Mod SW Rev Inc via DID $2843
320	SWE1-Diagnostics-313	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Mod SW Rev Inc
321	SWE1-Diagnostics-314	positive	SiriusXM	SiriusXM - Read HDEC Rev Minor via DID $2843
322	SWE1-Diagnostics-315	negative	SiriusXM	SiriusXM - Handle negative response while reading HDEC Rev Minor via DID $2843
323	SWE1-Diagnostics-316	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading HDEC Rev Minor
324	SWE1-Diagnostics-317	positive	SiriusXM	SiriusXM - Read HDEC Rev Major via DID $2843
325	SWE1-Diagnostics-318	negative	SiriusXM	SiriusXM - Handle negative response while reading HDEC Rev Major via DID $2843
326	SWE1-Diagnostics-319	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading HDEC Rev Major
327	SWE1-Diagnostics-320	positive	SiriusXM	SiriusXM - Read HDEC Rev Inc via DID $2843
328	SWE1-Diagnostics-321	negative	SiriusXM	SiriusXM - Handle negative response while reading HDEC Rev Inc via DID $2843
329	SWE1-Diagnostics-322	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading HDEC Rev Inc
330	SWE1-Diagnostics-323	positive	SiriusXM	SiriusXM - Read Capability via DID $2843
331	SWE1-Diagnostics-324	negative	SiriusXM	SiriusXM - Handle negative response while reading Capability via DID $2843
332	SWE1-Diagnostics-325	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading Capability
333	SWE1-Diagnostics-326	positive	SiriusXM	SiriusXM - Read TWER Pipe 2B via DID $2843
334	SWE1-Diagnostics-327	negative	SiriusXM	SiriusXM - Handle negative response while reading TWER Pipe 2B via DID $2843
335	SWE1-Diagnostics-328	unsupported	SiriusXM	SiriusXM - Handle unsupported service requests while reading TWER Pipe 2B
336	SWE1-Diagnostics-329	positive	USB	USB - Report current number of connected USB devices the current number of enumerated USB devices, excluding Hubs and SD Card readers via DID 2870
337	SWE1-Diagnostics-330	negative	USB	USB - Handle negative response while reporting connected USB device count 2870
338	SWE1-Diagnostics-331	positive	USB	USB - Report current number of connected USB devices via DID 2870
339	SWE1-Diagnostics-332	negative	USB	USB - Handle negative response while reporting connected USB device count 2870
340	SWE1-Diagnostics-333	unsupported	(無前綴)	USB service not supported. 2870
341	SWE1-Diagnostics-334	positive	Front Seat Video	Front Seat Video - Report / control Front Seat Video Playback state via DID 280C
342	SWE1-Diagnostics-335	negative	Front Seat Video	Front Seat Video - Handle negative response while report/control Video Playback 280C
343	SWE1-Diagnostics-336	positive	Audio	Audio - Switch radio audio source to selected video input when requested by DID 5100
344	SWE1-Diagnostics-337	positive	Audio	Audio - Switch radio audio source to normal operation when requested by DID 5100
345	SWE1-Diagnostics-338	negative	Audio	Audio - Handle negative response while switching the source fails. 5100
346	SWE1-Diagnostics-339	positive	Audio	Audio - Switch to a video input when commanded via DID 500D
347	SWE1-Diagnostics-340-001	negative	Audio	"Audio - Handle incompatible new input source (""Previous Out of Range"") via DID 500D"
348	SWE1-Diagnostics-340-002	positive	Clock Defrost	Clock Defrost – Read/Write Clock Defrost data via DID $280C
349	SWE1-Diagnostics-341	negative	Clock Defrost	Clock Defrost – Handle negative response for Read/Write for DID 280C
350	SWE1-Diagnostics-342	positive	12/24 Time Selection	12/24 Time Selection – Read/Write 12/24 hour clock setting via DID $280C
351	SWE1-Diagnostics-343	negative	12/24 Time Selection	12/24 Time Selection – Handle negative response for Read/Write for DID $280C
352	SWE1-Diagnostics-344	positive	Steering Wheel	Steering Wheel – Report status of hardwired steering wheel control interface buttons via DID $1821
353	SWE1-Diagnostics-345	negative	Steering Wheel	Steering Wheel – Handle negative response while reporting button status for DID $1821
354	SWE1-Diagnostics-346	positive	KeySense PIN	KeySense PIN – Execute KeySense PIN stop and flow routine when commanded via DID $030A
355	SWE1-Diagnostics-347	positive	KeySense PIN	KeySense PIN – Do not interrupt the routine when stop is commanded; allow it to run to completion
356	SWE1-Diagnostics-348	unsupported	KeySense PIN	KeySense PIN – Handle negative response and unsupported service for the routine
357	SWE1-Diagnostics-349	positive	GPS	GPS - Report the Visible Satellites using this DID$2812
358	SWE1-Diagnostics-350	negative	GPS	GPS - Handle the negative response while reporting the Visible Satellites
359	SWE1-Diagnostics-351	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Visible Satellites.
360	SWE1-Diagnostics-352	positive	GPS	GPS - Report the Time - UTC - Seconds using this DID$2812
361	SWE1-Diagnostics-353	negative	GPS	GPS - Handle the negative response while reporting the Time - UTC - Seconds
362	SWE1-Diagnostics-354	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Time - UTC - Seconds.
363	SWE1-Diagnostics-355	positive	GPS	GPS - Report the Time - UTC - Minutes using this DID$2812
364	SWE1-Diagnostics-356	negative	GPS	GPS - Handle the negative response while reporting the Time - UTC - Minutes
365	SWE1-Diagnostics-357	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Time - UTC - Minutes.
366	SWE1-Diagnostics-358	positive	GPS	GPS - Report the Time - UTC - Hours using this DID$2812
367	SWE1-Diagnostics-359	negative	GPS	GPS - Handle the negative response while reporting the Time - UTC - Hours
368	SWE1-Diagnostics-360	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Time - UTC - Hours.
369	SWE1-Diagnostics-361	positive	GPS	GPS - Report the Speed using this DID$2812
370	SWE1-Diagnostics-362	negative	GPS	GPS - Handle the negative response while reporting the Speed
371	SWE1-Diagnostics-363	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Speed.
372	SWE1-Diagnostics-364	positive	GPS	GPS - Report the Satellites Currently Tracked using this DID$2812
373	SWE1-Diagnostics-365	negative	GPS	GPS - Handle the negative response while reporting the Satellites Currently Tracked
374	SWE1-Diagnostics-366	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Satellites Currently Tracked.
375	SWE1-Diagnostics-367	positive	GPS	GPS - Report the Longitude using this DID$2812
376	SWE1-Diagnostics-368	negative	GPS	GPS - Handle the negative response while reporting the Longitude
377	SWE1-Diagnostics-369	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Longitude.
378	SWE1-Diagnostics-370	positive	GPS	GPS - Report the Latitude using this DID$2812
379	SWE1-Diagnostics-371	negative	GPS	GPS - Handle the negative response while reporting the Latitude
380	SWE1-Diagnostics-372	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Latitude.
381	SWE1-Diagnostics-373	positive	GPS	GPS - Report the Heading using this DID$2812
382	SWE1-Diagnostics-374	negative	GPS	GPS - Handle the negative response while reporting the Heading
383	SWE1-Diagnostics-375	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Heading.
384	SWE1-Diagnostics-376	positive	GPS	GPS - Report the GPS Fix using this DID$2812
385	SWE1-Diagnostics-377	negative	GPS	GPS - Handle the negative response while reporting the GPS Fix
386	SWE1-Diagnostics-378	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the GPS Fix.
387	SWE1-Diagnostics-379	positive	GPS	GPS - Report the Ellipsoid Height using this DID$2812
388	SWE1-Diagnostics-380	negative	GPS	GPS - Handle the negative response while reporting the Ellipsoid Height
389	SWE1-Diagnostics-381	unsupported	GPS	GPS - Handle the Unsupported service requests while reporting the Ellipsoid Height.
390	SWE1-Diagnostics-382	positive	GPS	GPS - Report the Date - Year using this DID$2812
391	SWE1-Diagnostics-383	positive	Display	Display - Initiate Screen Test Pattern using this DID $1801
392	SWE1-Diagnostics-384	negative	Display	Display - Handle the negative response while initiating the Screen Test Pattern
393	SWE1-Diagnostics-385	unsupported	Display	Display - Handle the Unsupported service requests while initiating the Screen Test Pattern.
394	SWE1-Diagnostics-386	positive	Steering Wheel	Steering Wheel - Report CAN signal status of steering wheel module interface buttons using this DID $1821
395	SWE1-Diagnostics-387	negative	Steering Wheel	Steering Wheel - Handle the negative response while reporting the CAN signal status of steering wheel module interface buttons
396	SWE1-Diagnostics-388	unsupported	Steering Wheel	Steering Wheel - Handle the Unsupported service requests while reporting the CAN signal status of steering wheel module interface buttons.
