tc_id	row	req_id	test_set	priority	design_method	has_pending
newR1L-SU-250	259	SWE1-FOTA-310	Integrity Verification	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-251	260	SWE1-FOTA-311	Integrity Verification	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-252	261	SWE1-FOTA-312	Integrity Verification	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-253	262	SWE1-FOTA-313	Interruption Handling	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-254	263	SWE1-FOTA-315	Interruption Handling	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-255	264	SWE1-FOTA-316	Interruption Handling	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-256	265	SWE1-FOTA-317	Interruption Handling	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-257	266	SWE1-FOTA-318	Interruption Handling	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-258	267	SWE1-FOTA-319	Interruption Handling	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-259	268	SWE1-FOTA-320	Interruption Handling	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-260	269	SWE1-FOTA-321	Interruption Handling	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-261	270	SWE1-FOTA-322	Interruption Handling	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-262	271	SWE1-FOTA-323	Interruption Handling	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-263	272	SWE1-FOTA-324	Interruption Handling	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-264	273	SWE1-FOTA-325	Interruption Handling	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-265	274	SWE1-FOTA-326	Interruption Handling	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-266	275	SWE1-FOTA-327	Interruption Handling	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-267	276	SWE1-FOTA-328	Interruption Handling	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-268	277	SWE1-FOTA-329	Interruption Handling	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-269	278	SWE1-FOTA-330	Status Reporting	P1	決策表 (Decision Table Testing)	Y
newR1L-SU-270	279	SWE1-FOTA-331	Status Reporting	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-271	280	SWE1-FOTA-332	Status Reporting	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-272	281	SWE1-FOTA-333	Status Reporting	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-273	282	SWE1-FOTA-334	Status Reporting	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-274	283	SWE1-FOTA-336	Deployment Conditions	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-275	284	SWE1-FOTA-337	Deployment Conditions	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-276	285	SWE1-FOTA-338	Integrity Verification	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-277	286	SWE1-FOTA-339	Status Reporting	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-278	287	SWE1-FOTA-340	Deployment Conditions	P2	功能測試 (Functional based ; no specific technique)	
newR1L-SU-279	288	SWE1-FOTA-341	Deployment Conditions	P1	決策表 (Decision Table Testing)	
newR1L-SU-280	289	SWE1-FOTA-343	Deployment Conditions	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-281	290	SWE1-FOTA-344	Deployment Conditions	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-282	291	SWE1-FOTA-345	Deployment Conditions	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-283	292	SWE1-FOTA-346	Deployment Conditions	P1	負向測試 (Negative / Invalid)	
newR1L-SU-284	293	SWE1-FOTA-347	Session Management	P1	邊界值分析 (Boundary Value Analysis, BVA)	Y
newR1L-SU-285	294	SWE1-FOTA-348	Session Management	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-286	295	SWE1-FOTA-349	Session Management	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-287	296	SWE1-FOTA-350	Session Management	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-288	297	SWE1-FOTA-351	Session Management	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-289	298	SWE1-FOTA-352	Session Management	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-290	299	SWE1-FOTA-353	Session Management	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-291	300	SWE1-FOTA-354	Session Management	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-292	301	SWE1-FOTA-355	Session Management	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-293	302	SWE1-FOTA-356	Session Management	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-294	303	SWE1-FOTA-357	Interruption Handling	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-295	304	SWE1-FOTA-358	Status Reporting	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-296	305	SWE1-FOTA-359	Interruption Handling	P1	功能測試 (Functional based ; no specific technique)	
newR1L-SU-297	306	SWE1-FOTA-360	Interruption Handling	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-298	307	SWE1-FOTA-361	Session Management	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-299	308	SWE1-FOTA-363	Telematics Client	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-300	309	SWE1-FOTA-364	Telematics Client	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-301	310	SWE1-FOTA-365	Telematics Client	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-302	311	SWE1-FOTA-366	Telematics Client	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-303	312	SWE1-FOTA-367	Telematics Client	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-304	313	SWE1-FOTA-368	Session Management	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-305	314	SWE1-FOTA-369	Session Management	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-306	315	SWE1-FOTA-370	Update Agent	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-307	316	SWE1-FOTA-371	Update Agent	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-308	317	SWE1-FOTA-372	Update Agent	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-309	318	SWE1-FOTA-373	Update Agent	P2	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-310	319	SWE1-FOTA-374	Update Agent	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-311	320	SWE1-FOTA-375	Update Agent	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-312	321	SWE1-FOTA-376	Update Agent	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-313	322	SWE1-FOTA-377	Update Agent	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-314	323	SWE1-FOTA-378	Update Agent	P1	基礎故障注入 (Fault Injection Lite)	Y
newR1L-SU-315	324	SWE1-FOTA-379	Update Agent	P1	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-316	325	SWE1-FOTA-380	Update Agent	P1	基礎故障注入 (Fault Injection Lite)	
newR1L-SU-317	326	SWE1-FOTA-381	Update Agent	P3	功能測試 (Functional based ; no specific technique)	Y
newR1L-SU-318	327	SWE1-FOTA-382	Update Agent	P1	負向測試 (Negative / Invalid)	Y
newR1L-SU-319	328	SWE1-FOTA-383	Update Agent	P2	功能測試 (Functional based ; no specific technique)	Y
